HMDB	KEGG	LipidMaps	compoundName_HMDB	compoundName_LipidMaps
		LMFA06000281		2-iodopalmitaldehyde
		LMFA08020328		Tulipiferamide A
		LMFA08020329		Tulipiferamide B
		LMFA08020330		Tulipiferamide C
		LMFA08040071		13-HODE-EA
		LMFA08020320		Dehydro-gamma-sanshool
		LMFA08020314		N-benzyl-15Z-tetracosenamide
		LMFA08020306		N-benzyltetracosanamide
		LMFA13010051		2-O-(beta-D-galactopyranosyl-(1->6)-beta-D-galactopyranosyl) 2S,3R-dihydroxynonanoic acid
		LMFA13010049		2-O-(beta-D-galactopyranosyl-(1->6)-beta-D-galactopyranosyl) 2S,3R-dihydroxytridecanoic acid
		LMFA13010047		2-O-(beta-D-galactopyranosyl-(1->6)-beta-D-galactopyranosyl) 2S-hydroxyundecanoic acid
		LMFA13010046		2-O-(beta-D-galactopyranosyl-(1->6)-beta-D-galactopyranosyl) 2S-hydroxynonanoic acid
		LMFA01020402		Mycinonic acid I
		LMFA01020404		Diabolic acid
		LMFA08020331		Commendamide
		LMFA03020031		14,15-LTC4
		LMFA01050580		Cladosporacid D
		LMFA01050585		Cladosporester B
		LMFA02000017		12-oxo-13-hydroxy-9Z-oleic acid
		LMFA03000024		
		LMFA02000293		Chrysobalanic acid
		LMFA03000026		
		LMFA01030114		6,8-octadecadienoic acid
		LMFA02000295		Fulgidic acid
		LMFA01030110		5Z,12Z-octadecadienoic acid
		LMFA01031073		2Z,5Z,8Z,11Z-Hexadecatetraenoic acid
		LMFA13030003		3-O-alpha-L-rhamnopyranosyl-3-hydroxydecanoic acid
		LMFA13030006		3-O-(alpha-L-rhamnopyranosyl-(1-2)-alpha-L-rhamnopyranosyl)-3-hydroxydecanoic acid
		LMFA13030007		3-O-(2-O-(2E-decenoyl)-alpha-L-rhamnopyranosyl-(1-2)-alpha-L-rhamnopyranosyl)-3-hydroxydecanoic acid
		LMFA13010044		3-O-(beta-D-glucopyranosyl-(1->6)-beta-D-glucopyranosyl) ethyl 3-hydroxyoctanoate
		LMFA01170158		Tensyuic acid F
		LMFA09000018		
		LMFA09000019		
		LMFA09000020		
		LMFA09000021		
		LMFA09000009		
		LMFA01170159		Tensyuic acid A
		LMFA08020335		N-benzyl docosahexaenamide
		LMFA09000003		Lauronitrile
		LMFA09000004		
