compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid	HMDB0000399	C01094		
	HMDB0000399			LMST04010120
3,7-Dihydroxy-12-oxocholanoic acid	HMDB0000400		12-Ketochenodeoxycholic acid	LMST04010176
2,8-Dihydroxyadenine	HMDB0000401			
2-Isopropylmalic acid	HMDB0000402	C02504	2-isopropyl-malic acid	LMFA01170083
2-Hydroxyadenine	HMDB0000403			
2b,3a,7a-Trihydroxy-5b-cholanoic acid	HMDB0000404			LMST04010059
2-Methoxyestradiol	HMDB0000405	C05302	2-Methoxyestradiol-17beta	LMST02010035
16-Ketoestradiol	HMDB0000406	C14383	16-Ketoestradiol	LMST02010047
2-Hydroxy-3-methylbutyric acid	HMDB0000407		2-Hydroxy-3-methylbutyric acid	LMFA01050478
2-Methyl-3-ketovaleric acid	HMDB0000408			
(5R)-5-Hydroxyhexanoic acid	HMDB0000409		5R-hydroxy-hexanoic acid	LMFA01050376
3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid	HMDB0000410		3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid	LMFA01050492
3a,12b-Dihydroxy-5b-cholanoic acid	HMDB0000411	C17646	Lagodeoxycholic acid	LMST04010041
3beta,17alpha-Dihydroxy-5alpha-androstane	HMDB0000412			
3-Hydroxydodecanedioic acid	HMDB0000413		3-hydroxy-dodecanedioic acid	LMFA01170089
1b,3a,7a-Trihydroxy-5b-cholanoic acid	HMDB0000414			LMST04010058
3a,6b,7b-Trihydroxy-5b-cholanoic acid	HMDB0000415	C17726	beta-muricholic acid	LMST04010067
17-Hydroxypregnenolone sulfate	HMDB0000416		17-Hydroxypregnenolone sulfate	LMST05020021
3D,7D,11D-Phytanic acid	HMDB0000417		3D,7D,11D-Phytanic acid	LMPR0104010036
18-Hydroxycortisol	HMDB0000418		18-Hydroxycortisol	LMST02030193
3b,7a,12a-Trihydroxy-5b-cholanoic acid	HMDB0000419		Isocholic acid	LMST04010086
2,3-Dihydroxyvaleric acid	HMDB0000421		2,3-dihydroxy-valeric acid	LMFA01050384
2-Methylglutaric acid	HMDB0000422		2-methyl-glutaric acid	LMFA01170084
3,4-Dihydroxyhydrocinnamic acid	HMDB0000423	C10447		
2-Hydroxydecanedioic acid	HMDB0000424		2-hydroxy-decanedioic acid	LMFA01170076
3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid	HMDB0000425			
Citramalic acid	HMDB0000426	C00815		
3b,7b,12a-Trihydroxy-5a-Cholanoic acid	HMDB0000427			LMST04010098
3-Hydroxyglutaric acid	HMDB0000428			
17alpha-Estradiol	HMDB0000429	C02537	Estradiol-17alpha	LMST02010029
24,25-Dihydroxyvitamin D	HMDB0000430			
16,17-Epiestriol	HMDB0000431		16,17-Epiestriol	LMST02010045
3a,7b,12a-Trihydroxy-5a-Cholanoic acid	HMDB0000432	C02373		
	HMDB0000432			LMST04010096
1,3,7,12-Tetrahydroxycholan-24-oic acid	HMDB0000433			
Homoveratric acid	HMDB0000434			
3a,4b,7a,12a-Tetrahydroxy-5b-cholanoic acid	HMDB0000437			LMST04010116
3b,12a-Dihydroxy-5b-cholanoic acid	HMDB0000438		Isodeoxycholic acid	LMST04010042
2-Furoylglycine	HMDB0000439			
3-Hydroxyphenylacetic acid	HMDB0000440	C05593		
(S)-3-Hydroxybutyric acid	HMDB0000442	C03197	(S)-3-Hydroxybutyric acid	LMFA01050463
3-Furoic acid	HMDB0000444			
Alpha-Tetrasaccharide	HMDB0000445	C06768		
N-alpha-Acetyl-L-lysine	HMDB0000446	C12989		
7a,12a-Dihydroxy-3-oxo-4-cholenoic acid	HMDB0000447	C15568		LMST04010241
Adipic acid	HMDB0000448	C06104	Adipic acid	LMFA01170048
5a-Tetrahydrocorticosterone	HMDB0000449		5alpha-Tetrahydrocorticosterone	LMST02030142
5-Hydroxylysine	HMDB0000450	C16741		
cis-4-Hydroxycyclohexylacetic acid	HMDB0000451			
L-alpha-Aminobutyric acid	HMDB0000452	C02356	2S-amino-butanoic acid	LMFA01100034
delta-Hexanolactone	HMDB0000453			
Allocystathionine	HMDB0000455			
5alpha-Androstane-3alpha,17alpha-diol	HMDB0000458			LMST02020096
3-Methylcrotonylglycine	HMDB0000459			
7-Hydroxy-3-oxocholanoic acid	HMDB0000460			
Allantoin	HMDB0000462	C01551		
Calcium	HMDB0000464	C00076		
3-Methylindole	HMDB0000466	C08313		
Nutriacholic acid	HMDB0000467			
Biopterin	HMDB0000468	C06313		
5-Hydroxymethyluracil	HMDB0000469	C03088		
5-Hydroxy-L-tryptophan	HMDB0000472	C00643		
6-Dimethylaminopurine	HMDB0000473			
Butanone	HMDB0000474	C02845	Butan-2-one 	LMFA12000043
3-Oxo-4,6-choladienoic acid	HMDB0000476			LMST04010235
7Z,10Z-Hexadecadienoic acid	HMDB0000477		7Z,10Z-hexadecadienoic acid	LMFA01030807
Allodeoxycholic acid	HMDB0000478			
