LipidMaps	HMDB
LMFA07010823	HMDB0034428
LMFA07010824	HMDB0034427
LMFA07010842	HMDB0036210
LMFA07050160	HMDB03940
LMFA07050348	HMDB0001021
LMFA07070065	HMDB0013129
LMFA07070109	HMDB0006317
LMFA07010797	HMDB0036426
LMFA07010915	HMDB0037734
LMFA07010919	HMDB0030029
LMFA07010977	HMDB0038034
LMFA07010438	HMDB0033619
LMFA06000001	HMDB0031475
LMFA07050382	HMDB0011122
LMFA07010982	HMDB0037713
LMFA07010855	HMDB0032264
LMFA07010862	HMDB0031406
LMFA12000022	HMDB0031516
LMFA01150047	HMDB0061643
LMFA03010007	HMDB01403
LMFA03020002	HMDB0002200
LMFA07090058	HMDB0112163
LMFA07090015	HMDB0112120
LMFA07090046	HMDB0112151
LMFA03010089	HMDB0062618
LMFA03010137	HMDB0002685
LMFA01050032	HMDB0040329
LMFA02000151	HMDB0062652
LMFA01020194	HMDB0040598
LMFA02000041	HMDB0010206
LMFA01170054	HMDB0000784
LMFA03060074	HMDB0011136
LMFA07070006	HMDB0062631
LMFA02000045	HMDB0010221
LMFA03110009	HMDB02341
LMFA05000090	HMDB0031299
LMFA01170068	HMDB0000522
LMFA12000005	HMDB0031036
LMFA01050377	HMDB0010718
LMFA01170078	HMDB0004982
LMFA01100053	HMDB0001906
LMFA01050390	HMDB00407
LMFA01170105	HMDB0000622
LMFA06000004	HMDB0040271
LMFA10000002	HMDB0030996
LMFA05000550	HMDB0041320
LMFA05000568	HMDB0030070
LMFA12000017	HMDB0032446
LMFA12000043	HMDB0000474
LMFA05000583	HMDB0031490
LMFA11000320	HMDB0040527
LMFA07040016	HMDB0035422
LMFA06000097	HMDB0031039
LMFA07070034	HMDB0000378
LMFA05000604	HMDB0041478
LMFA08020155	HMDB0039954
LMFA01060202	HMDB0034564
LMFA05000687	HMDB0038938
LMFA07050209	HMDB01375
LMFA07010744	HMDB0037195
LMFA07010819	HMDB0037229
LMFA07010898	HMDB0032292
LMFA07010924	HMDB0037624
LMFA07011017	HMDB0029885
LMFA07050281	HMDB0001206
LMFA07010943	HMDB0040194
LMFA07010946	HMDB0030945
LMFA07010863	HMDB0032271
LMFA07090049	HMDB0112154
LMFA01030095	HMDB0062452
LMFA03080005	HMDB0004264
LMFA01150033	HMDB0112073
LMFA03100001	HMDB02363
LMFA12000051	HMDB0061862
LMFA03020020	HMDB0001198
LMFA03020023	HMDB0001337
LMFA01020080	HMDB0031594
LMFA01010025	HMDB0002361
LMFA02000152	HMDB0010223
LMFA01170041	HMDB0000691
LMFA02000113	HMDB0004706
LMFA01060169	HMDB0006272
LMFA01100039	HMDB0000112
LMFA02000051	HMDB10203
LMFA12000247	HMDB0031491
LMFA07070007	HMDB00712
LMFA12000039	HMDB0035915
LMFA01050415	HMDB0001343
LMFA06000083	HMDB0031078
LMFA07070032	HMDB0013164
LMFA07070068	HMDB0013238
LMFA07010585	HMDB0034581
LMFA11000407	HMDB0033888
LMFA11000576	HMDB0061867
LMFA07010594	HMDB0033378
LMFA07090004	HMDB0112106
LMFA05000625	HMDB0031198
LMFA05000639	HMDB0031042
LMFA07010729	HMDB0036228
LMFA07010808	HMDB0038279
LMFA07010753	HMDB0032443
LMFA07050207	HMDB0060372
LMFA07050211	HMDB0062352
LMFA07050358	HMDB04149
LMFA07011008	HMDB0029764
LMFA01050316	HMDB0062596
LMFA01050317	HMDB00486
LMFA07090011	HMDB0112130
LMFA07090053	HMDB0112158
LMFA03060030	HMDB0062294
LMFA01020087	HMDB0031230
LMFA01020181	HMDB0000718
LMFA01030178	HMDB0002226
LMFA01010017	HMDB0002259
LMFA01030017	HMDB0000392
LMFA01010012	HMDB0000638
LMFA01050074	HMDB0062566
LMFA01060028	HMDB0010724
LMFA06000067	HMDB0031128
LMFA06000089	HMDB0060482
